Source_Type	Validated	Source	Family_F	Genus_F	Species_F	Class_H	Order_H	Family_H	Subfamily_H	Tribe_H	Subtribe_H	Genus_H	Species_H	Location	Life_Stage_H	Reported_F	Reported_H	Level_Reported_H	Level_H
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Akanthomyces	Akanthomyces tuberculatus	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Trinidad and Tobago	NA	Cordyceps sphingum	Lepidoptera	Order	Order
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps bicephala/curculionum/nutans	Insecta	Hymenoptera	Formicidae	Paraponerinae	NA	NA	Paraponera	Paraponera clavata	Guyana	NA	Cordyceps bicephala	Paraponera clavata	Species	Species
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps bicephala/curculionum/nutans	Insecta	Hymenoptera	Formicidae	Ponerinae	Ponerini	Odontomachus genus group	Paltothyreus	Paltothyreus tarsatus	Uganda	NA	Cordyceps bicephala	Paltothyreus tarsatus	Species	Species
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps bicephala/curculionum/nutans	Insecta	Hymenoptera	Formicidae	NA	NA	NA	NA	NA	Liberia	NA	Cordyceps bicephala	Formicidae	Family	Family
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps cf. entomorrhiza	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cordyceps cf. entomorrhiza	NA	NA	NA
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps cristata/Akanthomyces tuberculatus	Insecta	Coleoptera	Staphylinidae	NA	NA	NA	Rhopalocera	NA	Malaysia	NA	Cordyceps tuberculata	Rhopalocera	Genus	Genus
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps cristata/Akanthomyces tuberculatus	Insecta	Lepidoptera	Crambidae	NA	NA	NA	Maruca	Maruca vitrata	NA	NA	Cordyceps tuberculata	Maruca testulalis	Species	Species
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps cristata/Akanthomyces tuberculatus	Insecta	Lepidoptera	Noctuidae	NA	NA	NA	NA	NA	NA	NA	Cordyceps tuberculata	Noctuidae	Family	Family
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps cristata/Akanthomyces tuberculatus	Insecta	Lepidoptera	Pyralidae	NA	NA	NA	NA	NA	"West Africa"	NA	Cordyceps tuberculata	Pyralidae	Family	Family
Herbaria	1	KEW Gardens Collections	Cordycipitaceae	Cordyceps	Cordyceps cristata/Akanthomyces tuberculatus	Insecta	Lepidoptera	Saturniidae	NA	NA	NA	NA	NA	Tanzania	NA	Cordyceps tuberculata	Saturniidae	Family	Family
